,artist_name,artist_screen_name
0,Fiona Apple,none
1,Run the Jewels,runjewels
2,Perfume Genius,perfumegenius
3,Creeper,ianjmiles
4,Rose City Band,RoseCityBand
5,SAULT,saultglobal
6,Bob Dylan,bobdylan
7,Phoebe Bridgers,phoebe_bridgers
8,The Soft Pink Truth,xSoftPinkTruthx
9,Moses Sumney,MosesSumney
10,Laura Marling,lauramarlinghq
11,Taylor Swift,taylorswift13
12,Paradise Lost,OfficialPL
13,Imperial Triumphant,imperialnyc
14,Róisín Murphy,roisinmurphy
15,Dua Lipa,DUALIPA
16,Deftones,deftones
17,Crack Cloud,none
18,Boston Manor,BSTNMNR
19,Jadakiss,Therealkiss
20,Freddie Gibbs & The Alchemist,FreddieGibbs
21,Napalm Death,NAPALM_DEATH
22,The Microphones,rodemics
23,Rina Sawayama,rinasawayama
24,Porridge Radio,porridgeradio
25,HAIM,HAIMtheband
26,Code Orange,codeorangetoth
27,Shirley Collins,shirleyeCollins
28,Nicolas Jaar,nicolas___jaar
29,PVRIS,ThisIsPVRIS
30,Waxahatchee,k_crutchfield
31,Owen Pallett,owenpallett
32,Yves Tumor,YvesTumor
33,Boniface,bonifacemwangi
34,Caribou,caribouband
35,Jessie Ware,JessieWare
36,J Hus,Jhus
37,Empty Country,CountryEmpty
38,Soccer Mommy,sopharela
39,The James Hunter Six,JamesHunterSix
40,Neil Young,Neilyoung
41,Gil Scott-Heron & Makaya McCraven,none
42,Charley Crockett,CharleyCrockett
43,Working Men's Club,none
44,A.A.Williams,nwilliams23
45,JARV IS...,BeggarsFrance
46,Charli XCX,charli_xcx
47,Shabaka and the Ancestors,shabakah
48,No Joy,nojoy
49,The Dream Syndicate,_DreamSyndicate
50,Kate NV,KateMarshallNV
51,Baxter Dury,baxterdury
52,Jyoti,jkd18
53,Bill Callahan,none
54,Mac Miller,MacMiller
55,Liv.E,betsysullenger
56,The Ghost Inside,theghostinside
57,The Cool Greenhouse,thecoolgreen
58,Les Amazones d'Afrique,none
59,Another Sky,Tim_Burgess
60,Daniel Romano's Outfit,none
61,All Them Witches,AllThemWitches
62,Beatrice Dillon,nondillonworke
63,The Secret Sisters,thesecretsister
64,Sam Lee,SamLee
65,Yorkston / Thorne / Khan,none
66,Bad Bunny,none
67,Katatonia,KatatoniaBand
68,Honey Harper,none
69,Frazey Ford,FrazeyFord
70,BC Camplight,bccamplight
71,The Chicks,thechicks
72,Bill Fay,BillFayOfficialne
73,Lomelda,none
74,Nadine Shah,nadineshah
75,Kelly Lee Owens,kellyleeowens
76,Fleet Foxes,AntiRecords
77,Ruston Kelly,RustonKelly
78,Snowgoose,snowgoose_ottne
79,H.C. McEntire,HCMcEntire
80,Keeley Forsyth,KeeleyForsythe
81,X,none
82,Empress Of,EmpressOf
83,Against All Logic,AgainstAllLogic
84,Willie J Healey,WJHealey
85,Kvelertak,Kvelertak
86,Jeff Rosenstock,jeffrosenstock
87,Riz Ahmed,rizwanahmed
88,Doves,dovesmusicblog
89,Lucinda Williams,HappyWoman9
90,Horse Lords,none
91,Bob Mould,bobmouldmusic
92,Lianne La Havas,liannelahavas
93,Thundercat,Thundercat
94,Lilly Hiatt,LillyHiatt1
95,Sparks,sparksofficial
96,Mystery Jets,mysteryjets
97,Chloe x Halle,chloexhalle
98,Lido Pimienta,LidoPimienta
99,Protomartyr,protomartyrband
100,The Magic Gang,_TheMagicGang
101,Dion,celinedion
102,Ian William Craig,ianwilliamcraig
103,Dan Croll,DanCroll
104,Okkyung Lee,none
105,CMON,none
"106,""Skepta, Chip & Young Adz"",none"
107,Fontaines D.C.,none
108,Andy Shauf,andyshauf
109,Conway the Machine,WHOISCONWAY
110,Sufjan Stevens,none
111,Hum,hum
112,Coriky,none
113,Choir Boy,none
114,Anjimile,none
115,The Beths,LizstokedStokes
116,The Weeknd,theweeknd
117,OHMME,none
118,Blake Mills,_blakemills
119,Anna von Hausswolff,avonhausswolff
120,Mike Polizze,none
121,Nation of Language,none
122,Steve Earle & The Dukes,none
123,Terry Allen & The Panhandle Mystery Band,none
124,Norah Jones,NorahJones
125,The Chats,thechatsband
126,Land of Talk,land_of_talk
127,Eve Owen,EveOwenMusic
128,Brandy Clark,TheBrandyClark
129,Wilma Archer,WilmaArchers
130,Keleketla!,none
131,Lanterns on the Lake,lanternstalk
132,Nine Inch Nails,nineinchnails
133,Victoria Monét,VictoriaMonet
134,Marsicans,Marsicans
135,Tami Neilson,tamineilson
136,Biffy Clyro,BiffyClyro
137,bdrmm,none
138,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,pigsx7
139,Brigid Mae Power,none
