data_comp,model,item_feat,user_feat,layer_size_list,embedding_size,learning_rate,epochs,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalisation,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
(batch size 2048 / 4096)
UsersEmotions,2tnn_results,No,No,[16],16,0.01,5,0.1576,1.9023,4.6038,20.4187,32.5867,11.9338,0.3478,6.97,65.0,5.15,0.0,0.0,0.0,0.0,25.4062,7.5156
UsersEmotions,2tnn_results,No,No,[16],16,0.1,7,0.3377,2.5101,5.3579,21.8933,34.8154,12.9829,0.1828,49.38,98.0,7.63,0.0,0.0,0.0,0.0,33.8593,7.6563
UsersEmotions,2tnn_results,No,No,[16],16,0.2,5,0.2814,1.9248,4.1198,19.597,31.9788,11.5804,0.1828,45.44,98.0,7.78,0.0,0.0,0.0,0.0,24.625,7.4063
UsersEmotions,2tnn_results,No,No,[32],16,0.01,6,0.439,2.4989,5.0653,21.0153,33.6785,12.5394,0.2105,8.21,70.0,5.38,0.0,0.0,0.0,0.0,29.8125,7.9294
UsersEmotions,2tnn_results,No,No,[32],16,0.1,5,0.3039,2.24,4.7051,20.6889,34.3652,12.4606,0.1945,35.33,97.0,7.54,0.0,0.0,0.0,0.0,24.4218,7.4219
UsersEmotions,2tnn_results,No,No,[32],16,0.2,5,0.2364,2.1162,4.2661,18.584,31.6299,11.3665,0.1958,47.79,98.0,7.97,0.0,0.0,0.0,0.0,25.5312,7.4531
UsersEmotions,2tnn_results,Yes,No,[16],16,0.01,19,0.5516,2.814,5.2454,20.9365,32.294,12.3683,0.2029,23.79,96.0,7.0,0.0142,0.0,0.0,0.3509,136.2655,8.0312
UsersEmotions,2tnn_results,Yes,No,[16],16,0.1,4,0.6078,3.3206,6.9563,24.1108,36.0311,14.2053,0.2024,30.87,97.0,7.02,0.0217,0.0,0.3509,1.0526,31.159,8.1094
UsersEmotions,2tnn_results,Yes,No,[16],16,0.2,4,0.5065,2.769,5.3467,22.1747,34.9505,13.1495,0.1927,41.33,97.0,7.28,0.0,0.0,0.1754,0.3509,31.2344,8.0156
UsersEmotions,2tnn_results,Yes,No,[32],16,0.01,5,0.4728,2.285,4.9302,18.5277,27.9604,10.8352,0.2429,15.95,88.0,6.57,0.1367,0.0,0.3509,3.1579,37.94,8.0313
UsersEmotions,2tnn_results,Yes,No,[32],16,0.1,5,0.3827,3.4444,6.7875,24.3134,37.4719,14.48,0.201,49.64,98.0,7.27,0.0042,0.0,0.1754,0.5263,38.1093,8.0469
UsersEmotions,2tnn_results,Yes,No,[32],16,0.2,13,0.1914,1.6772,3.7371,19.7321,33.566,11.7807,0.1555,71.13,99.0,7.77,0.0033,0.0,0.0,0.0,93.878,7.9531
UsersEmotions,2tnn_results,No,Yes,[16],16,0.01,7,0.1914,1.8348,3.647,13.1247,21.9833,8.1562,0.2531,10.82,81.0,6.59,0.0,0.0,0.0,0.0,32.7812,12.0
UsersEmotions,2tnn_results,No,Yes,[16],16,0.1,9,0.4615,2.8366,5.403,22.4111,35.986,13.4196,0.18,66.77,99.0,7.98,0.0,0.0,0.0,0.0,41.9062,11.9219
UsersEmotions,2tnn_results,No,Yes,[16],16,0.2,6,0.3715,1.9698,4.6713,20.5425,33.4534,12.2017,0.182,64.97,99.0,7.96,0.0,0.0,0.0,0.0,28.1718,12.0937
UsersEmotions,2tnn_results,No,Yes,[32],16,0.01,3,0.4052,2.2287,4.2548,13.0234,18.2688,7.6362,0.3774,11.54,69.0,5.41,0.0233,0.0,0.0,1.0526,14.9531,11.9844
UsersEmotions,2tnn_results,No,Yes,[32],16,0.1,14,0.2927,1.9361,4.5925,21.6794,35.6258,12.8253,0.1671,76.62,99.0,7.92,0.0,0.0,0.0,0.0,64.1978,11.9375
UsersEmotions,2tnn_results,No,Yes,[32],16,0.2,20,0.2026,1.4408,3.3656,19.6421,33.8361,11.6974,0.15,77.69,99.0,8.0,0.0,0.0,0.0,0.0,90.736,11.9219
UsersEmotions,2tnn_results,Yes,Yes,[16],16,0.01,8,0.439,2.8028,5.403,18.9554,28.647,11.2494,0.2209,20.46,92.0,6.65,0.0308,0.0,0.3509,0.8772,58.4843,12.5937
UsersEmotions,2tnn_results,Yes,Yes,[16],16,0.1,5,0.5741,3.4444,6.9676,24.8874,36.9653,14.5678,0.1958,50.31,98.0,7.31,0.0,0.0,0.0,0.3509,37.9999,12.5312
UsersEmotions,2tnn_results,Yes,Yes,[16],16,0.2,20,0.1801,1.6884,3.7708,20.9253,35.8735,12.4876,0.1498,77.49,99.0,7.91,0.0,0.0,0.0,0.0,141.7519,12.5156
UsersEmotions,2tnn_results,Yes,Yes,[32],16,0.01,6,0.439,2.8253,5.3242,18.5277,28.1968,11.0626,0.2103,23.69,91.0,6.56,0.0508,0.0,0.8772,3.1579,45.1249,12.6094
UsersEmotions,2tnn_results,Yes,Yes,[32],16,0.1,5,0.5741,3.5232,6.3035,23.1202,35.0855,13.7213,0.1966,57.49,98.0,7.39,0.0,0.0,0.1754,0.8772,38.0646,12.5
UsersEmotions,2tnn_results,Yes,Yes,[32],16,0.2,20,0.1126,1.4295,3.7821,20.385,35.457,12.2332,0.1501,77.44,99.0,7.92,0.0017,0.0,0.0,0.0,143.1281,12.4844
UsersEmotions,2tnn_results,No,No,[16],32,0.01,4,0.5628,3.0167,4.8627,19.8109,32.8231,12.2152,0.3164,11.54,63.0,5.2,0.0075,0.0,0.0,0.0,19.125,7.5781
UsersEmotions,2tnn_results,No,No,[16],32,0.1,4,0.3039,2.6902,5.5268,22.67,35.3219,13.3026,0.2011,32.62,97.0,7.3,0.0,0.0,0.0,0.0,19.5469,7.4531
UsersEmotions,2tnn_results,No,No,[16],32,0.2,5,0.2364,1.9586,4.1986,18.9442,31.5398,11.3755,0.1757,54.41,98.0,7.72,0.0,0.0,0.0,0.0,23.9375,7.4531
UsersEmotions,2tnn_results,No,No,[32],32,0.01,7,0.6529,2.5777,5.1103,22.5011,33.7573,12.9199,0.2076,9.33,86.0,6.84,0.0,0.0,0.0,0.0,32.625,7.5469
UsersEmotions,2tnn_results,No,No,[32],32,0.1,4,0.4052,2.5101,4.9415,21.837,34.8267,12.9041,0.1991,33.64,97.0,7.34,0.0,0.0,0.0,0.0,19.375,7.4688
