data_comp,model,item_feat,user_feat,components,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
UsersEmotions,lm_results,none,none,10,5,0.01,1.0806,3.2305,6.5736,27.9604,44.1805,16.6051,0.56,6.45,3.31,0.0,0.0,0.0,0.0,0.6562,12.7187
UsersEmotions,lm_results,none,none,10,10,0.01,1.0919,3.3543,6.3935,28.4669,44.6083,16.783,0.72,7.61,3.32,0.0,0.0,0.0,0.0,1.25,12.7187
UsersEmotions,lm_results,none,none,10,20,0.01,0.9118,3.9734,6.9901,29.4349,46.5669,17.5754,1.08,18.25,3.34,0.0,0.0,0.0,0.0,2.375,12.6875
UsersEmotions,lm_results,none,none,10,5,0.05,1.0356,5.5606,10.8172,37.5844,54.9527,21.9901,4.41,65.95,3.67,0.0,0.0,0.0,0.0,0.5469,12.6875
UsersEmotions,lm_results,none,none,10,10,0.05,0.9568,5.6731,11.0423,38.575,55.842,22.4178,6.67,71.51,3.79,0.0,0.0,0.0,0.0,1.1562,12.6094
UsersEmotions,lm_results,none,none,10,20,0.05,1.0693,6.2697,11.7064,40.2859,57.2828,23.3228,9.64,80.06,4.01,0.0,0.0,0.0,0.0,1.9375,12.5781
UsersEmotions,lm_results,none,none,10,5,0.1,0.9905,4.8176,9.9505,35.2656,52.3413,20.6731,8.77,75.56,3.89,0.0,0.0,0.0,0.0,0.5156,12.6094
UsersEmotions,lm_results,none,none,10,10,0.1,1.1594,5.4142,11.0986,37.8321,54.5362,22.0081,12.21,83.44,4.14,0.0,0.0,0.0,0.0,0.9531,12.5625
UsersEmotions,lm_results,none,none,10,20,0.1,1.2044,5.5831,10.851,38.665,54.8964,22.24,15.74,85.98,4.28,0.0,0.0,0.0,0.0,1.7656,12.5312
UsersEmotions,lm_results,none,none,10,5,0.15,0.9455,4.3561,8.7235,33.0932,49.4484,19.3133,13.18,75.91,3.93,0.005,0.0,0.0,0.0,0.5156,12.6406
UsersEmotions,lm_results,none,none,10,10,0.15,1.0581,5.0428,9.8379,35.3219,51.5083,20.5538,17.03,83.23,4.19,0.0,0.0,0.0,0.0,0.9531,12.5937
UsersEmotions,lm_results,none,none,10,20,0.15,0.9905,5.538,10.4345,35.7159,53.0167,21.1391,21.95,86.01,4.36,0.0,0.0,0.0,0.0,1.7656,12.5625
UsersEmotions,lm_results,none,none,10,5,0.2,0.2251,1.7335,4.1535,21.1279,35.3107,12.5101,18.26,70.74,5.59,3.3183,0.1754,0.7018,0.8772,0.5,12.6406
UsersEmotions,lm_results,none,none,10,10,0.2,0.7429,3.0842,6.4836,26.2719,41.7267,15.6619,21.79,72.67,4.78,1.3925,0.0,0.3509,0.5263,0.9375,12.6406
UsersEmotions,lm_results,none,none,10,20,0.2,0.5853,3.0279,6.6974,27.8366,43.7641,16.3823,25.64,75.48,4.61,0.7717,0.0,0.0,0.0,1.7812,12.6094
UsersEmotions,lm_results,none,none,10,5,0.3,0.0113,0.1238,0.2701,1.6434,3.9284,1.1954,8.82,84.62,10.09,25.0733,0.1754,2.807,5.614,0.625,13.926
UsersEmotions,lm_results,none,none,10,10,0.3,0.0113,0.09,0.2026,1.4633,3.4894,1.0513,8.56,83.04,10.05,29.4367,0.8772,2.9825,4.9123,1.2969,12.8437
UsersEmotions,lm_results,none,none,10,20,0.3,0.0225,0.1576,0.5516,3.1292,6.5736,2.0869,7.9,83.79,9.52,25.5358,0.3509,2.2807,4.7368,2.4531,12.6562
UsersEmotions,lm_results,none,user_all,10,5,0.01,1.0919,3.4444,5.9545,27.679,43.8991,16.4138,0.56,2.7,3.34,0.0,0.0,0.0,0.0,6.3906,24.7343
